accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
2,1.0,1.0,1,1,1.0,52.3788396888,4.8574161193,2,3,2.850330844589563,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3725446909,4.8546062923,2,6,3.1292417262569083,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3724984062,4.8711710587,3,16,2.05626253231697,1,0,1,0,0
4,1.5,1.0,1,2,1.0,52.3580656709,4.9300837384000005,1,0,3.1361713760438934,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3845924932,4.9137343625,2,5,1.1409849938981824,1,0,1,0,0
2,1.0,1.0,38,1,43.0,52.3793923449,4.880427279,3,34,1.2893015532305105,0,1,1,0,0
2,1.0,1.0,1,1,1.0,52.3581405934,4.9122863488,2,13,2.4963492495890724,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3739714697,4.859095191,3,5,2.7970703978957623,1,0,1,0,0
2,1.0,1.0,1,1,3.0,52.3658410432,4.8744978245,3,8,2.2498027781827563,0,1,1,0,0
4,2.0,3.0,1,6,1.0,52.362829777,4.8672613268,2,8,2.840536065926732,0,1,1,0,0
1,1.0,1.0,1,1,1.0,52.3408980006,4.9049613644,3,29,4.2716113866744605,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3264532972,4.8778850013,1,16,6.039980791530251,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3758807677,4.9244883758,3,29,1.7391163652925583,1,0,0,1,0
3,1.0,1.0,1,2,1.0,52.3762289803,4.8992274603,1,6,0.3292221924827516,1,0,1,0,0
2,1.0,0.0,1,2,1.0,52.3558010621,4.8988367664,3,9,2.5992999937512336,1,0,1,0,0
3,1.0,1.0,1,2,1.0,52.367290254,4.8686539687,1,4,2.4714744045528483,1,0,1,0,0
4,1.0,2.0,24,2,36.0,52.3551694845,4.8889125241,7,0,2.762943377728032,1,0,1,0,0
2,1.5,1.0,1,1,1.0,52.37213097,4.9037882171,3,58,0.8381765477428448,0,1,1,0,0
2,1.0,1.0,2,1,2.0,52.3578626746,4.8576929699,3,16,3.692745703425921,1,0,0,1,0
6,1.0,3.0,1,1,1.0,52.3625252679,4.8647601255,2,19,2.9937322969655598,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3431917072,4.8248839362,2,21,6.449362129750464,1,0,0,1,0
4,1.0,2.0,1,1,1.0,52.3566652945,4.9083340239,1,5,2.574815457314928,1,0,1,0,0
2,1.5,1.0,1,2,1.0,52.3848218652,4.8911993155,3,9,0.8387957297783679,0,1,1,0,0
3,1.0,1.0,1,2,2.0,52.3718405775,4.8817078561,1,40,1.4534256189736379,1,0,1,0,0
2,1.0,1.0,2,1,2.0,52.3950273999,4.9533315328,2,5,4.057286497114511,0,1,0,1,0
4,1.0,2.0,1,1,1.0,52.3534014247,4.9052560553,1,3,2.892777260069047,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3380691555,4.900883394,3,9,4.5705103760793895,1,0,1,0,0
4,1.0,2.0,2,1,2.0,52.3682831789,4.873419623,3,29,2.140756711124964,1,0,1,0,0
2,1.5,1.0,1,1,1.0,52.3636336685,4.8611601969,2,12,3.119296538555696,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3722785829,4.865494356,2,9,2.4269467696648084,1,0,1,0,0
2,0.5,1.0,7,1,7.0,52.3767633991,4.8740997586,3,2,1.7393893875318052,1,0,0,1,0
2,1.0,1.0,1,2,1.0,52.3538384877,4.8884411149,2,12,2.914105307124962,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3549131049,4.9175014002,2,7,2.9632377494983846,1,0,1,0,0
